316819.258246969	4158121.67688731	
316819.610869104	4158122.03545984	
316820.100188631	4158122.18008426	
316820.079110202	4158121.62546684	
316819.616802215	4158121.10279015	
316819.112526177	4158120.68095453	
316818.679904716	4158120.30194421	
316818.148390768	4158119.84740481	
316817.786199441	4158119.45573855	
316817.381795214	4158119.15381712	
316816.992610885	4158118.74054331	
316816.648333121	4158118.35958341	
316816.294731164	4158117.956626	
316815.949963566	4158117.55347364	
316815.451809295	4158117.40904442	
316814.93549645	4158117.24281268	
316814.411083856	4158117.11006468	
316813.879795963	4158117.06628167	
316813.293052821	4158116.91270604	
316812.820666961	4158116.73440333	
316812.322022795	4158116.5677818	
316811.789755282	4158116.47961393	
316811.344099154	4158116.71148252	
316810.94751286	4158117.16430121	
316810.666018579	4158117.62568151	
316810.366365763	4158118.06525928	
316809.994813394	4158118.45091561	
316809.50939358	4158118.88349164	
316809.164834245	4158119.29075559	
316808.767268614	4158119.6991894	
316808.397675566	4158120.1736158	
316807.911031451	4158120.55071069	
316807.649900109	4158121.13375988	
316807.298220861	4158121.61889262	
316806.920773195	4158122.13789906	
316806.596331888	4158122.65573565	
316806.289069595	4158123.1509898	
316805.758743634	4158123.55125221	
316805.434792261	4158124.09128135	
316805.003114025	4158124.55597653	
316804.544197984	4158124.98796793	
316804.093871471	4158125.40866813	
316803.696306393	4158125.81710221	
316803.219476823	4158126.23838741	
316802.831970731	4158126.7021078	
316802.328638116	4158127.123978	
316801.904570066	4158127.53299713	
316801.550932193	4158127.92936016	
316801.207353265	4158128.38100946	
316800.755312758	4158128.72403612	
316800.302047747	4158129.01158156	
316799.758969531	4158129.23449941	
316799.192834579	4158129.2136898	
316798.683886981	4158128.98068661	
316798.304761023	4158128.62269989	
316798.036808304	4158128.09573463	
316797.873398651	4158127.49985203	
316797.554888702	4158127.08501919	
316797.157604026	4158126.70523001	
316796.830259631	4158126.29059218	
316796.47494258	4158125.80996185	
316796.146128638	4158125.32874657	
316795.861486577	4158124.84655634	
316796.259261224	4158125.24853796	
316796.586850599	4158125.67427201	
316796.914195029	4158126.08890983	
316797.250373808	4158126.50335266	
316797.569128704	4158126.92928174	
316797.9141418	4158127.34352961	
316798.224062252	4158127.7696537	
316798.597292791	4158128.26099038	
316798.970033468	4158128.73013457	
316799.270629621	4158129.13426118	
316799.65049024	4158129.52553668	
316800.05636414	4158129.89403474	
316800.566046364	4158130.16032676	
316801.116471743	4158130.27029641	
316801.647024195	4158130.28078984	
316801.375834732	4158130.808553	
316801.021952127	4158131.19381981	
316800.588070356	4158131.55864901	
316800.200074859	4158132.00017705	
316799.793920836	4158132.41990258	
316799.388746493	4158132.88401312	
316798.937930864	4158133.28252113	
316798.943301276	4158133.92629852	
316799.156778081	4158134.38785624	
316799.536883395	4158134.79022798	
316799.592810907	4158135.32187296	
316799.898304995	4158135.94792455	
316799.386383655	4158136.3810862	
316798.979005351	4158136.74533054	
316798.483038472	4158137.10042853	
316797.915661939	4158137.42379772	
316797.455522446	4158137.80030832	
316797.057958318	4158138.20874276	
316796.624566927	4158138.59576469	
316796.119276059	4158138.92886533	
316795.570793052	4158139.30732594	
316795.04856828	4158139.67410538	
316794.480702218	4158139.97528231	
316793.940318967	4158140.32025931	
316793.427663449	4158140.7201326	
316792.878935759	4158141.08749715	
316792.330942875	4158141.48815049	
316791.825652349	4158141.82125141	
316791.258276387	4158142.14462107	
316790.781938253	4158142.58809955	
316790.358851278	4158143.04150432	
316789.934294813	4158143.42833162	
316789.483970067	4158143.84903269	
316789.03315552	4158144.24754129	
316788.582341015	4158144.64604991	
316788.077295754	4158144.99024731	
316787.617891898	4158145.40004724	
316787.09591278	4158145.77792345	
316786.645833234	4158146.20972094	
316786.151337004	4158146.6313972	
316785.647271678	4158147.01997976	
316785.142226678	4158147.36417735	
316784.593499785	4158147.73154249	
316784.088944735	4158148.09793264	
316783.630031112	4158148.5299253	
316783.143879664	4158148.92921426	
316782.67613178	4158149.36140198	
316782.153173396	4158149.69489353	
316781.622605367	4158150.08406136	
316781.128599491	4158150.52793044	
316780.687599805	4158150.97062951	
316780.238990493	4158151.46900486	
316779.789156551	4158151.91189899	
316779.33785303	4158152.28821566	
316778.870595409	4158152.74259611	
316778.447264672	4158153.18490529	
316777.997430918	4158153.62779953	
316777.610172505	4158154.10261746	
316777.187821669	4158154.58931171	
316776.75639159	4158155.06510474	
316776.360054025	4158155.5290215	
316775.928868986	4158156.01591083	
316775.479035524	4158156.45880522	
316775.108466318	4158156.88884826	
316774.72071834	4158157.34147384	
316774.305242633	4158157.73920324	
316773.936878057	4158158.26911258	
316773.459317052	4158158.65711088	
316773.046045993	4158159.1547066	
316772.568974976	4158159.56489745	
316772.146869672	4158160.06268823	
316771.652130059	4158160.47326918	
316771.111504118	4158160.8071515	
316770.625598946	4158161.2175375	
316770.147793314	4158161.59443976	
316769.633915491	4158161.93883337	
316769.182368026	4158162.30405438	
316768.891553463	4158162.74343879	
316768.689817227	4158163.21416176	
316768.255693607	4158163.56789653	
316767.789417058	4158164.06666266	
316767.472589517	4158164.52882469	
316767.067663552	4158165.00403321	
316766.679426493	4158165.4344667	
316766.159654188	4158165.91221057	
316765.66589505	4158166.3671769	
316765.2082082	4158166.85465191	
316764.703655163	4158167.22104333	
316764.245233538	4158167.67522965	
316763.732826095	4158168.08620116	
316763.308517122	4158168.48412618	
316762.839791541	4158168.87193011	
316762.335973616	4158169.27161043	
316761.920744069	4158169.68043676	
316761.470422183	4158170.10113947	
316761.047093277	4158170.54344961	
316760.651002317	4158171.01846344	
316760.272335109	4158171.48199098	
316759.848026477	4158171.8799162	
316759.496107323	4158172.35395494	
316759.154737308	4158172.90547241	
316758.848459707	4158173.44511352	
316758.515924118	4158173.996436	
316758.174554242	4158174.54795351	
316757.706809122	4158174.98014276	
316757.190972888	4158175.23576721	
316756.875861178	4158175.77560344	
316756.389222682	4158176.15270158	
316755.948225707	4158176.59540208	
316755.560724697	4158177.0591249	
316755.162919571	4158177.45646527	
316754.782293196	4158177.83122309	
316754.061062911	4158177.99146733	
316753.422051571	4158177.87235501	
316752.831131459	4158177.92980754	
316752.24094628	4158178.02054887	
316751.75995775	4158178.25320101	
316751.253446171	4158178.5308233	
316750.720186664	4158178.7979345	
316750.1947816	4158179.02046569	
316749.631834439	4158179.14391083	
316749.232559807	4158179.474674	
316748.549116864	4158179.74510106	
