302454.916987539	4123701.728155740
302455.228802396	4123702.153802810
302455.560188095	4123702.656704590
302455.846171770	4123703.116266110
302456.270182499	4123703.406046710
302456.574692476	4123703.898478810
302456.879985791	4123704.424199030
302456.990106172	4123704.954512280
302457.234082334	4123705.514982030
302457.476491728	4123706.008875580
302457.729600448	4123706.580232610
302458.026805479	4123707.139449750
302458.324010473	4123707.698666900
302458.630086922	4123708.257675290
302458.944773703	4123708.805378880
302459.224757846	4123709.387205680
302459.423854059	4123709.926527270
302459.664957615	4123710.364940690
302459.971556130	4123710.946141200
302460.204049262	4123711.395859440
302460.482205409	4123711.900014010
302460.864208181	4123712.290703000
302461.091746528	4123712.907070570
302461.486537488	4123713.463991360
302461.828099485	4123714.022164780
302462.152701822	4123714.614043860
302462.430596640	4123715.107102460
302462.725712163	4123715.577551450
302463.030743601	4123716.092175840
302463.345168720	4123716.628783540
302463.687252711	4123717.209149100
302464.029597772	4123717.800610710
302464.364115766	4123718.436665240
302464.851015562	4123719.135746990
302465.129954545	4123719.673189810
302465.410460179	4123720.277208860
302465.698270573	4123720.814442940
302465.968076865	4123721.340998510
302466.238144237	4123721.878650140
302466.525693419	4123722.404788200
302466.803848866	4123722.908942960
302467.082004283	4123723.413097740
302467.433481468	4123724.015446740
302467.712159036	4123724.541793610
302467.997880271	4123724.990259460
302468.230633749	4123725.451073930
302468.480607927	4123725.889278820
302468.813036428	4123726.436565210
302469.136854527	4123726.995156420
302469.504507720	4123727.530511760
302469.839024964	4123728.166566490
302470.173019945	4123728.780429150
302470.423516151	4123729.240826160
302470.682883799	4123729.701014410
302470.932857739	4123730.139219360
302471.165349826	4123730.588937870
302471.451592905	4123731.059595900
302471.755056675	4123731.507644350
302471.961195392	4123731.969085200
302472.203603269	4123732.462979120
302472.289719121	4123733.104879170
302472.676159223	4123733.684201260
302472.982233891	4123734.243210120
302473.313617387	4123734.746112530
302473.600904637	4123735.261154770
302473.906718089	4123735.809067620
302474.194527477	4123736.346301960
302474.491208293	4123736.883327550
302474.778495407	4123737.398369830
302475.487179824	4123738.092233230
302475.783338300	4123738.607066790
302476.051315758	4123739.055950400
302476.329992352	4123739.582297520
302476.546046513	4123740.087913850
302476.834116705	4123740.636244310
302477.139668675	4123741.173061230
302477.400863329	4123741.710921920
302477.706154129	4123742.236642820
302477.993701984	4123742.762781240
302478.272639450	4123743.300224450
302478.542966528	4123743.848972460
302478.779113252	4123744.454035670
302479.166074630	4123745.055550100
302479.407437370	4123745.505060060
302479.687419056	4123746.086887470
302479.994537249	4123746.690280690
302480.301655402	4123747.293673940
302480.607990224	4123747.863779080
302480.913802818	4123748.411692150
302481.201350288	4123748.937830670
302481.470110450	4123749.420002540
302481.720344407	4123749.869303810
302482.031378749	4123750.639137660
302482.481478389	4123750.906101140
302482.652652526	4123751.390569280
302482.850702072	4123751.885507220
302483.111112799	4123752.390079960
302483.397093456	4123752.849642320
302483.683335176	4123753.320300730
302483.977403940	4123753.746366250
302484.255035251	4123754.228329460
302484.632080026	4123754.785668720
302484.931370512	4123755.433655010
302485.190997748	4123755.904939700
302485.470456558	4123756.464575200
302485.712863036	4123756.958469460
302485.983711432	4123757.529409760
302486.264214499	4123758.133429430
302486.515231238	4123758.616018940
302486.803039141	4123759.153253660
302487.083281017	4123759.746177310
302487.399791861	4123760.371554110
302487.785446527	4123760.917588720
302488.390792788	4123760.992162510
302488.858373462	4123761.247612790
302488.532491193	4123762.110148550
302488.830997900	4123762.724846850
302489.136287312	4123763.250568120
302489.448881605	4123763.709504440
302489.761998036	4123764.190632840
302490.039367626	4123764.661500180
302490.372315528	4123765.230979420
302490.686215107	4123765.745395960
302490.972194944	4123766.204958560
302491.295488049	4123766.741358460
302491.589747610	4123767.262642360
302491.884007170	4123767.783926260
302492.178266731	4123768.305210160
302492.472526291	4123768.826494060
302492.766785852	4123769.347777960
302493.061045412	4123769.869061860
302493.355304973	4123770.390345760
302493.649564533	4123770.911629660
302493.943824093	4123771.432913560
302494.238083654	4123771.954197460
302494.532343214	4123772.475481360
302494.826602775	4123772.996765260
302495.120862335	4123773.518049160
302495.415121896	4123774.039333060
