316691.969016517	4158053.09221305	
316692.147408326	4158053.5656449	
316692.258800108	4158054.20708128	
316692.46614573	4158054.79089034	
316692.724782772	4158055.29585507	
316692.596663873	4158055.89817409	
316692.742658307	4158056.50554133	
316692.930129518	4158056.98987436	
316692.817474145	4158057.49193693	
316692.652547175	4158058.02845884	
316692.4427128	4158058.53266749	
316692.136189514	4158059.06121473	
316691.79432844	4158059.59054237	
316691.395539906	4158059.94350064	
316691.06987754	4158060.40586062	
316690.681883925	4158060.84739382	
316690.232539263	4158061.31248524	
316689.880618706	4158061.78652682	
316689.608453328	4158062.26990877	
316689.44352668	4158062.80643076	
316689.376514195	4158063.37409538	
316689.449872754	4158063.8942534	
316689.488138553	4158064.42628806	
316689.544808403	4158064.99122128	
316689.705531252	4158065.46504329	
316689.725638031	4158065.97527566	
316689.898135911	4158066.58205756	
316690.042170019	4158067.10065478	
316690.404369775	4158067.49231574	
316690.766079398	4158067.86178422	
316691.223742671	4158068.17362537	
316691.713558072	4158068.34043491	
316692.202883357	4158068.48505198	
316692.743745026	4158068.561921	
316693.263752189	4158068.494929	
316693.766580555	4158068.45051973	
316694.313336116	4158068.39403876	
316694.860336727	4158068.34865407	
316695.368568946	4158068.14870231	
316695.932503343	4158068.06963875	
316696.458649538	4158067.88039312	
316696.957067205	4158067.63625156	
316697.492537979	4158067.4690034	
316697.925684002	4158067.07088005	
316698.464353379	4158066.64822313	
316699.030003163	4158066.64683354	
316699.62044103	4158066.56718497	
316700.160567616	4158066.61076572	
316700.67639617	4158066.75479802	
316701.201549225	4158066.92082776	
316701.688165813	4158067.3430467	
316702.113186253	4158067.77772754	
316702.353418356	4158068.24979397	
316702.453034386	4158068.75827056	
316702.411789336	4158069.29206105	
316702.237047471	4158069.78439285	
316701.919484298	4158070.21326857	
316701.502291915	4158070.53332779	
316701.0215432	4158070.77707891	
316700.483622222	4158070.83336435	
316699.951350208	4158070.7452035	
316699.442641058	4158070.52330242	
316699.019580908	4158070.17739172	
316698.697388255	4158069.5961187	
316698.308685656	4158069.20504267	
316698.076307627	4158068.68839625	
316697.643187681	4158068.28719946	
316697.393140693	4158067.77094324	
316697.073398252	4158067.30063277	
316696.929364592	4158066.78203546	
316696.598337225	4158066.20095761	
316696.332091469	4158065.7516691	
316695.966461347	4158065.2046604	
316695.804513647	4158064.67535704	
316695.686248103	4158064.12288571	
316695.497061883	4158063.56087888	
316695.152286087	4158063.15773126	
316694.875980494	4158062.65315665	
316694.740291005	4158062.11217177	
316694.596012091	4158061.58247824	
316694.363878696	4158061.07692816	
316694.202175877	4158060.55872108	
316693.801697672	4158060.03468534	
316693.483179984	4158059.61985625	
	

	
